code_uic,cp,a2021,a2020,2019,a2018,a2017,a2016,a2015
87595769,24170,10457,3943,7951,6216,6936,6222,6911
87755330,83210,105470,57879,91596,75908,84783,69196,62906
87411223,76300,10819,9759,20331,15913,18935,17117,17261
87594333,46200,131847,102922,136407,120717,139917,137410,142260
87212126,67170,24881,23185,40172,37952,43225,40467,37920
87382374,92150,2309589,1546667,3463282,3120349,2847025,2544442,2559923
87751636,13016,0,0,63,1475,1227,645,1104
87476754,44530,10728,7792,10076,5873,2841,967,964
87783365,12150,14149,12150,16054,21689,26077,22313,20906
87396051,72290,3509,1817,3313,5928,5969,5753,4905
87296442,2700,497654,418067,506609,515224,557391,504843,481660
87182568,68800,154070,134772,204227,204901,208400,202822,212664
87472605,68800,34360,34474,44953,32137,27435,24094,25570
87182881,68800,201926,201684,191367,190006,201073,196238,199735
87144097,88150,330839,258250,320173,271513,304609,302094,337419
87595579,24210,14104,9160,14887,10981,10371,8756,6226
87141432,54519,734,246,923,2262,3181,1957,1724
87481143,44470,28176,21021,34328,28424,26021,24234,28114
87784744,66360,406,416,271,425,363,297,354
87757583,6590,17608,12268,14349,10721,10507,16923,18791
87342303,62127,7292,13028,15853,15320,18078,17962,17454
87141044,54200,297027,230375,343259,314423,323295,288052,290084
87116210,77220,1527630,961576,1971494,2017749,2082036,2107021,2128614
87671172,65190,22710,13448,14364,14349,18993,18808,21615
87411181,76410,1848,1463,1109,1342,1185,1651,2045
87543074,28310,159582,128809,163512,132607,126828,128032,134027
87313353,60420,48962,41557,46366,49591,55217,56236,56762
