code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87753491,Croix Sainte,3970,4388,5115,3693,3310,1310,3332
87723502,Crépieux la Pape,7511,6194,7130,6463,9378,5478,18486
87214213,Dambach-la-Ville,36828,37955,33397,29842,39069,29978,32630
87575126,Dangé-Saint-Romain,14147,13323,11270,12949,20056,18885,22872
87182253,Dannemarie,90221,90147,100724,98973,109780,73044,85930
87315044,Daours,26913,28036,28859,26769,31699,27157,28044
87721449,Dardilly Le Jubin,53696,45995,42798,39246,38983,29694,32148
87343459,Denain,28346,27110,31612,32400,36925,21192,18677
87713008,Dijon Porte Neuve,187203,180774,183258,166537,159908,129654,120040
87718213,Domblans - Voiteur,44879,41663,41499,34199,31832,35660,32655
87396200,Domfront-en-Champagne,12836,13321,13090,13210,11171,4380,5640
87764290,Donzère,20729,19937,23808,20780,27825,16156,19638
87476770,Drefféac,2799,3111,3504,5658,7414,3737,4871
87393488,Dreux,2236055,2075449,2042308,1838875,2008116,1149307,1377776
87641449,Durtol - Nohanent,502,756,590,347,606,539,708
87276022,Enghien-les-Bains,7574604,7684943,7760343,7711048,7568159,3316445,6111149
87276055,Ermont - Eaubonne,21275454,21209815,22292293,23060542,22636877,12240896,14809265
87345496,Escaudœuvres,49,263,161,134,32,143,531
87722579,Estressin,89537,77341,82698,71330,90877,62138,85549
87592121,Eymoutiers Vassivière,39292,38791,39685,34357,44042,34711,41359
87193524,Farschviller,21087,20970,21467,22125,19952,18309,21785
87613091,Figeac,204296,200919,209149,171463,124903,112778,148601
87726729,Firminy,308309,268822,361140,267265,315135,166599,220674
87171330,Fismes,249464,244836,256425,231070,235537,210169,241610
87448001,Flers,152031,157061,158129,148515,158515,96442,124417
87721563,Fleurieux-sur-l'Arbresle,107664,117463,144552,152397,169352,109005,131960
87611616,Foix,308721,276252,284877,227132,269634,148675,242830
87141051,Fontenoy-sur-Moselle,3364,2641,2502,2500,2864,2672,2344
87342204,Fouquereuil,2236,2086,1065,1099,1632,1055,1275
87295048,Fourmies,253606,232693,236132,219996,233839,145503,161211
87276071,Franconville - Le Plessis-Bouchard,5593007,5722193,5831267,5952225,5875083,3109665,2143703
87113894,Freinville Sevran,1144456,1168850,1192432,1194722,1191070,1905264,1546264
87286641,Fretin,87880,84236,95226,85673,92078,53815,59194
87592360,Fromental,890,1042,410,330,373,584,973
87473876,Frynaudour,607,159,165,695,625,208,254
87757500,Fréjus,141235,146109,207822,197968,191271,108863,156845
87172098,Fumay,95133,97296,90982,74360,69508,53838,62546
87765446,Gadagne,10342,8920,9396,8514,9321,4237,7649
87113514,Gagny,5145520,5196181,5225983,5155124,5094411,2469447,3268203
87191742,Gandrange - Amnéville,10354,6408,3584,2456,3235,1646,2916
87751495,Gare routière de Digne les Bains,16217,15039,14709,12814,11213,3886,3574
87761544,Gare routière de La-Voulte-sur-Rhône,2053,2023,1029,956,601,747,1042
87381566,Gargenville,323122,327223,339962,346907,355165,186439,465970
87734046,Gerzat,29522,29640,28307,23326,27140,20688,24853
87381244,Gisors,1189008,1179029,1160748,978613,967490,549536,868298
87722405,Givors,1022142,1016986,1104102,988341,1026224,639511,805337
87415349,Glos - Montfort,1769,1213,772,1253,830,0,0
87214270,Goxwiller,30676,32784,33214,30005,28766,19059,22316
87181131,Graffenwald,79337,69576,74572,78592,78248,58023,60905
87613059,Gramat,16898,16179,14971,12205,12369,10952,15183
87281246,Gravelines,20857,24117,27184,28939,48190,26881,30628
87747006,Grenoble,10872829,10424187,11052531,10164418,11228672,6886394,8858291
87582619,Gujan-Mestras,391948,377087,407225,390105,445842,297840,374159
87182386,Gunsbach - Griesbach,20815,22226,23087,18386,19337,15724,14184
87775791,Générac,354,218,434,357,801,580,1016
87182089,Habsheim,281835,276789,285021,284751,307386,201840,192264
87413708,Harfleur Halte,4463,4973,4858,3871,3788,2055,2591
87181024,Hasenrain,378,395,566,0,0,0,0
87191239,Hayange,28498,17611,9871,7423,8356,5225,6094
87316398,Heilles - Mouchy,3568,4285,4160,3433,2001,2963,4682
